序号,股票代码,股票简称,,上市日期,上市首日换手率(%),发行价(元),上市日期,CPI,PPI,板块涨幅,第一日涨幅,第二日涨幅,第三日涨幅,y
113,688126,沪硅产业,2020/4/30,20200420,71.14,3.89,2020/4/20,3.3,-3.1,11.52%,180.46,-0.05,0.14,11.8
114,688127,蓝特光学,2020/9/30,20200921,80.85,15.41,2020/9/21,1.7,-2.1,-6.55%,126.02,-0.07,0.04,34.4
115,688128,中国电研,2019/11/30,20191105,81.34,18.79,2019/11/5,4.5,-1.4,-3.78%,43.27,-0.19,0.06,25.68
116,688129,东来技术,2020/10/31,20201023,72.25,15.22,2020/10/23,0.5,-2.1,-1.71%,123.39,-0.18,0.01,33.09
117,688130,晶华微,2022/7/31,20220729,52.55,62.98,2022/7/29,2.7,4.2,-2.15%,-7.67,0.03,-0.04,63.65
118,688131,皓元医药,2021/6/30,20210608,71.59,64.99,2021/6/8,1.1,8.8,2.58%,382.27,0.1,-0.02,246.08
119,688132,邦彦技术,2022/9/30,20220923,48.41,28.88,2022/9/23,2.8,0.9,-6.44%,-15.17,-0.1,0,24.5
120,688133,泰坦科技,2020/10/31,20201030,82.02,44.47,2020/10/30,0.5,-2.1,-1.71%,48.55,-0.07,-0.03,69.78
121,688135,利扬芯片,2020/11/30,20201111,77.18,15.72,2020/11/11,-0.5,-1.5,7.85%,297.77,-0.08,0.01,69.38
122,688136,科兴制药,2020/12/31,20201214,66.93,22.33,2020/12/14,0.2,-0.4,-1.41%,83.65,0.28,-0.11,52.32
123,688137,近岸蛋白,2022/9/30,20220929,41.34,106.19,2022/9/29,2.8,0.9,-7.96%,-28.89,0,-0.11,75.51
124,688138,清溢光电,2019/11/30,20191120,74.85,8.78,2019/11/20,4.5,-1.4,-0.22%,122.67,-0.17,0,19.33
125,688139,海尔生物,2019/10/31,20191025,69.31,15.53,2019/10/25,3.8,-1.6,2.53%,96.2,0.28,-0.11,38.33
126,688141,杰华特,2022/12/31,20221223,72.26,38.26,2022/12/23,1.8,-0.7,-6.31%,32.62,0.04,0,52.8
127,688143,长盈通,2022/12/31,20221212,71.06,35.67,2022/12/12,1.8,-0.7,-7.08%,37.4,0.01,-0.07,49.74
128,688146,中船特气,2023/4/30,20230421,74.24,36.15,2023/4/21,0.5,-3.1,-1.97%,35.8,0.04,-0.11,51
129,688147,微导纳米,2022/12/31,20221223,66.99,24.21,2022/12/23,1.8,-0.7,-6.18%,13.38,0.01,0,27.81
130,688148,芳源股份,2021/8/31,20210806,80.17,4.58,2021/8/6,0.8,9.5,10.26%,659.83,0.09,-0.09,37.63
131,688150,莱特光电,2022/3/31,20220318,55.14,22.05,2022/3/18,1.5,8.3,-6.94%,-13.83,0.01,-0.05,19.34
132,688151,华强科技,2021/12/31,20211206,70.33,35.09,2021/12/6,1.5,10.3,1.68%,24.25,-0.13,0.02,42.98
133,688152,麒麟信安,2022/10/31,20221028,77.07,68.89,2022/10/28,2.1,-1.3,21.46%,212.38,0.06,-0.04,230
134,688153,唯捷创芯,2022/4/30,20220412,46.85,66.6,2022/4/12,2.1,8,-17.40%,-36.04,0.13,0.16,56.72
135,688155,先惠技术,2020/8/31,20200811,72.22,38.77,2020/8/11,2.4,-2,5.11%,111.53,-0.16,-0.02,81.51
136,688156,路德环境,2020/9/30,20200922,74.15,15.91,2020/9/22,1.7,-2.1,-8.66%,84.16,-0.06,-0.02,28.58
137,688157,松井股份,2020/6/30,20200609,79.81,34.48,2020/6/9,2.5,-3,2.05%,166.82,-0.07,0.11,95.68
138,688158,优刻得,2020/1/31,20200120,71.82,33.23,2020/1/20,5.4,0.1,7.06%,119.53,-0.06,-0.03,72.89
139,688159,有方科技,2020/1/31,20200123,67.64,20.35,2020/1/23,5.4,0.1,1.11%,178.18,-0.2,0.59,56.53
140,688160,步科股份,2020/11/30,20201112,74.6,20.34,2020/11/12,-0.5,-1.5,1.69%,180.48,-0.03,0.28,72.57
141,688161,威高骨科,2021/6/30,20210630,71.95,36.22,2021/6/30,1.1,8.8,-1.05%,192.79,0.01,-0.11,105.87
142,688162,巨一科技,2021/11/30,20211110,85.73,46,2021/11/10,2.3,12.9,14.83%,94.57,0.01,0.16,104.47
143,688163,赛伦生物,2022/3/31,20220311,71.35,33.03,2022/3/11,1.5,8.3,-4.48%,67.42,-0.08,-0.17,53.52
144,688165,埃夫特,2020/7/31,20200715,70.93,6.35,2020/7/15,2.7,-2.4,14.57%,387.87,-0.06,-0.24,30.98
145,688166,博瑞医药,2019/11/30,20191108,70.87,12.71,2019/11/8,4.5,-1.4,-0.56%,140.83,0.06,-0.13,32.11
146,688167,炬光科技,2021/12/31,20211224,74.52,78.69,2021/12/24,1.5,10.3,-4.28%,145.14,-0.06,0.08,213.55
147,688168,安博通,2019/9/30,20190906,73.03,56.88,2019/9/6,3,-1.2,5.06%,216.53,-0.03,-0.05,126.58
148,688169,石头科技,2020/2/29,20200221,72.68,271.12,2020/2/21,5.2,-0.4,2.68%,84.46,-0.08,0.02,352.98
149,688170,德龙激光,2022/4/30,20220429,44.86,30.18,2022/4/29,2.1,8,-18.61%,-2.25,-0.06,-0.02,29.18
150,688171,纬德信息,2022/1/31,20220127,70.36,28.68,2022/1/27,0.9,9.1,-4.62%,23.57,-0.19,0.02,35.13
151,688172,燕东微,2022/12/31,20221216,60.82,21.98,2022/12/16,1.8,-0.7,-6.31%,4.69,-0.11,0,23.01
152,688173,希荻微,2022/1/31,20220121,78.22,33.57,2022/1/21,0.9,9.1,-14.96%,31.22,-0.22,-0.04,44.05
153,688175,高凌信息,2022/3/31,20220315,53.41,51.68,2022/3/15,1.5,8.3,-12.42%,-10.99,0.01,-0.01,47.17
154,688176,亚虹医药,2022/1/31,20220107,48.53,22.98,2022/1/7,0.9,9.1,-10.00%,-23.41,0.03,-0.03,18.07
155,688177,百奥泰,2020/2/29,20200221,63.9,32.76,2020/2/21,5.2,-0.4,2.32%,83.76,0.01,0.02,62.01
156,688178,万德斯,2020/1/31,20200114,73.97,25.2,2020/1/14,5.4,0.1,0.13%,102.9,-0.05,0.07,52.39
157,688179,阿拉丁,2020/10/31,20201026,70.31,19.43,2020/10/26,0.5,-2.1,-1.71%,131.91,0.01,-0.08,32.09
158,688180,君实生物,2020/7/31,20200715,62.06,55.5,2020/7/15,2.7,-2.4,22.48%,172.07,-0.16,-0.08,151
159,688181,八亿时空,2020/1/31,20200106,69.43,43.98,2020/1/6,5.4,0.1,2.77%,39.36,-0.02,0.03,61.02
160,688182,灿勤科技,2021/11/30,20211116,83.32,10.5,2021/11/16,2.3,12.9,16.29%,85.71,0.26,0.03,27.19
161,688183,生益电子,2021/2/28,20210225,75.39,12.42,2021/2/25,-0.2,1.7,-1.18%,72.62,-0.02,-0.06,20.61
162,688184,帕瓦股份,2022/9/30,20220919,52.85,51.88,2022/9/19,2.8,0.9,-11.28%,-21.76,0.04,-0.02,42.13
163,688185,康希诺,2020/8/31,20200813,69.53,209.71,2020/8/13,2.4,-2,-11.21%,87.45,-0.11,0.04,391.08
164,688186,广大特材,2020/2/29,20200211,73.76,17.16,2020/2/11,5.2,-0.4,-4.54%,210.2,0.02,-0.1,52.34
165,688187,时代电气,2021/9/30,20210907,64.63,31.38,2021/9/7,0.7,10.7,-4.83%,83.24,-0.1,0.02,56.76
166,688188,柏楚电子,2019/8/31,20190808,72.47,68.58,2019/8/8,2.8,-0.8,-1.52%,255.61,-0.01,-0.13,171.14
167,688189,南新制药,2020/3/31,20200326,64.29,34.94,2020/3/26,4.3,-1.5,-0.78%,86.29,-0.15,-0.12,46.13
168,688190,云路股份,2021/11/30,20211126,77.07,46.63,2021/11/26,2.3,12.9,34.98%,182.22,0.09,-0.05,143.34
169,688191,智洋创新,2021/4/30,20210408,71.6,11.38,2021/4/8,0.9,6.8,-1.42%,116.61,-0.13,-0.07,24.21
170,688192,迪哲医药,2021/12/31,20211210,53.6,52.58,2021/12/10,1.5,10.3,6.91%,-21.83,-0.02,0.01,41.1
171,688193,仁度生物,2022/3/31,20220330,62.92,72.65,2022/3/30,1.5,8.3,-4.28%,-10.86,-0.02,-0.05,64.76
172,688195,腾景科技,2021/3/31,20210326,68.6,13.6,2021/3/26,0.4,4.4,0.65%,54.78,-0.08,-0.01,20.67
173,688196,卓越新能,2019/11/30,20191121,72.45,42.93,2019/11/21,4.5,-1.4,-4.13%,18.5,-0.11,-0.09,48.14
174,688197,首药控股,2022/3/31,20220323,42.33,39.9,2022/3/23,1.5,8.3,3.49%,-19.52,-0.04,-0.07,32.11
